02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
10,0,OK
02,M1,2000
20,0,OK
03,M1,2000
30,0,OK
01,M1,2000
